id,OMP_NUM_THREADS,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr
gemm.papi5wr6390ggby4wwxb,5,68751170,20760475,2861788,2090048,1781757,4067783,4068608,23307,3,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,6,68751171,20517530,2581816,2097349,751346,3969328,3967450,27934,8,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,6,68751171,20770810,2888565,2090027,1789284,3885383,3882327,28510,6,0,16875520,0,33685504,0,65536,25329680
gemm.papi5wr6390ggby4wwxb,6,68751171,20828264,2336349,2097321,763631,3947257,3950469,27981,2,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,6,68751170,20340375,2310788,2097337,759406,3961714,3965081,27926,6,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,6,68751170,20336747,2302427,2097314,751886,4026167,4019485,28247,3,0,16875520,0,33685504,0,65536,25329722
gemm.papi5wr6390ggby4wwxb,6,68751172,21019045,2756616,2097470,747904,3912291,3908821,28152,4,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,6,68751170,20775409,2893215,2090309,1780684,4024806,4025553,30246,5,0,16875520,0,33685504,0,65536,25329783
gemm.papi5wr6390ggby4wwxb,6,68751170,21080125,3240890,2090166,1766352,3816741,3814480,30223,3,0,16875520,0,33685504,0,65536,25329783
gemm.papi5wr6390ggby4wwxb,6,68751170,20905590,3125017,2090016,1771997,4035779,4034201,29280,4,0,16875520,0,33685504,0,65536,25329782
gemm.papi5wr6390ggby4wwxb,6,68751170,20820115,2945324,2089990,1784383,3926795,3928657,29927,3,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,7,68751170,20745629,2850238,2089906,1790114,3907303,3908548,30003,5,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,7,68751172,20906233,3026191,2090024,1770587,4098981,4092187,30203,7,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,7,68751170,21079709,3252017,2090044,1760232,3979235,3969921,30011,6,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,7,68751172,20849620,2879366,2090109,1783458,4032846,4030138,29807,13,0,16875520,0,33685504,0,65536,25329782
gemm.papi5wr6390ggby4wwxb,7,68751170,21058823,2578554,2097299,746393,3959105,3958497,28194,7,0,16875520,0,33685504,0,65536,25329782
gemm.papi5wr6390ggby4wwxb,7,68751171,20574411,2597154,2097368,740413,4044330,4051508,28358,7,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,7,68751171,20830012,2902171,2089965,1782272,3951184,3956680,30222,10,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,7,68751171,20859823,2959682,2090101,1785543,3963175,3959920,30047,5,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,7,68751171,21018996,3214957,2090298,1765272,3951005,3950211,29539,6,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,7,68751172,20867805,3001641,2090023,1769127,4136872,4144470,30022,6,0,16875520,0,33685504,0,65536,25329781
gemm.papi5wr6390ggby4wwxb,8,68751170,20764153,2445765,2097423,749394,3912684,3912303,24639,6,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,8,68751170,20852472,2866678,2089923,1783154,3950550,3953456,30284,2,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,8,68751170,20646104,2645202,2097467,717603,4146270,4145063,28154,8,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,8,68751170,20657727,2575508,2097325,740255,3893082,3889878,28086,3,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,8,68751171,20968030,2585269,2097234,736104,3836660,3835863,28367,5,0,16875520,0,33685504,0,65536,25329766
gemm.papi5wr6390ggby4wwxb,8,68751171,20924434,2652027,2097336,726892,3957718,3959400,27908,3,0,16875520,0,33685504,0,65536,25329782
gemm.papi5wr6390ggby4wwxb,8,68751170,20688651,2777097,2090043,1796011,3961381,3962573,29752,3,0,16875520,0,33685504,0,65536,25329786
gemm.papi5wr6390ggby4wwxb,8,68751171,20845283,3057414,2097355,716046,4065388,4064573,28152,5,0,16875520,0,33685504,0,65536,25329781
gemm.papi5wr6390ggby4wwxb,8,68751171,21281474,3422258,2097279,725583,4205775,4211093,24521,5,0,16875520,0,33685504,0,65536,25329735
gemm.papi5wr6390ggby4wwxb,8,68751171,21147874,3341046,2090081,729246,4105850,4104445,28381,6,0,16875520,0,33685504,0,65536,25329784
