id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source
gemm.evallab.papi0y379n8gwgbww6px,4,151719000,116593147,64429887,17172538,17136045,39335982,39289405,21793,6,0,50364416,0,50397184,0,50331648,50495625,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151718998,110943027,60150300,17100509,17076473,39533122,39529039,19964,2,0,50364416,0,50397184,0,50331648,50495607,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151719000,109159861,58384861,17088867,17056678,41946531,41944929,21442,5,0,50364416,0,50397184,0,50331648,50495331,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151718999,117964199,65967439,17127650,17123820,40675860,40581723,21178,5,0,50364416,0,50397184,0,50331648,50495621,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151719001,111319736,60312153,17124429,17091197,41013695,41003725,19270,4,0,50364416,0,50397184,0,50331648,50495611,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151719000,116850413,65746259,17185128,17181716,39359361,39353090,20490,4,0,50364416,0,50397184,0,50331648,50495623,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151719000,117654743,66304977,17149848,17116369,41483147,41466339,21257,7,0,50364416,0,50397184,0,50331648,50495324,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151718998,111576482,60283091,17079038,17079880,40677458,40679217,19351,4,0,50364416,0,50397184,0,50331648,50495616,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151718999,110750498,59961664,17115107,17084143,39601408,39606028,19658,3,0,50364416,0,50397184,0,50331648,50495422,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151718999,117132869,65864071,17149493,17119657,41104197,41098994,21533,5,0,50364416,0,50397184,0,50331648,50477295,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,5,151718999,110873692,59851409,17103946,17102316,40233242,39963624,21279,7,0,50364416,0,50397184,0,50331648,50495621,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151718998,111100544,60327265,17163342,17131667,40710512,40705064,21680,7,0,50364416,0,50397184,0,50331648,50495609,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151718999,116741312,65530611,17189813,17188777,40506541,40497465,20965,2,0,50364416,0,50397184,0,50331648,50495626,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151718999,116552226,65220501,17191222,17163780,40174082,40177251,20693,5,0,50364416,0,50397184,0,50331648,50495609,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151719000,116409018,65120339,17147084,17113930,39507660,39520044,21925,5,0,50364416,0,50397184,0,50331648,50495615,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151719001,117419755,66007605,17138598,17105081,40308168,40300807,20438,5,0,50364416,0,50397184,0,50331648,50495610,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151718998,110884754,60070926,17094327,17062065,40308126,40300700,19372,8,0,50364416,0,50397184,0,50331648,50495624,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151719000,116347607,65113551,17181170,17149703,40318854,40236593,21313,1,0,50364416,0,50397184,0,50331648,50495615,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151718999,110842803,60020532,17097386,17082860,40405597,40403545,19766,4,0,50364416,0,50397184,0,50331648,50495611,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151719000,115714240,64494663,17168783,17138057,39674726,39617113,22371,1,0,50364416,0,50397184,0,50331648,50495608,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,6,151718999,116095534,65261715,17172977,17168134,40143248,40144537,20752,2,0,50364416,0,50397184,0,50331648,50495625,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151719001,117608490,64558212,17175729,17140982,40008875,39833802,20355,3,0,50364416,0,50397184,0,50331648,50495610,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151719000,116996717,65590342,17146416,17111794,40202963,40206318,21174,5,0,50364416,0,50397184,0,50331648,50495446,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151718999,116703317,65601223,17154766,17123787,41133870,41129196,20561,6,0,50364416,0,50397184,0,50331648,50495214,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151719000,110015468,59254845,17038635,17007136,41565634,41553449,19477,7,0,50364416,0,50397184,0,50331648,50495607,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,7,151719000,116847678,65658982,17159415,17135126,39789491,39786823,21865,4,0,50364416,0,50397184,0,50331648,50495003,gemm.evallab.c
