id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source,n
gemm.openmp.papib81n49sek9rg08de,5,109806203,34532816,4842165,3377188,1281419,6828082,6833236,51502,10,0,27079944,0,54107144,0,52744,40718631,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109810965,34078191,4488276,3377317,1291751,6824908,6831869,51532,15,0,27079944,0,54107144,0,52744,40715891,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109806203,34711206,4667987,3377255,1283132,6835101,6837216,51554,23,0,27079944,0,54107144,0,52744,40715610,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109807604,34298513,4716270,3377388,1281718,6813531,6815205,51509,17,0,27079944,0,54107144,0,52744,40715649,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109819547,34498708,4825440,3378213,1282587,6812156,6827959,51487,38,0,27079944,0,54107144,0,52744,40715665,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91684221,28775076,3906111,2820137,1077197,5697386,5692828,43018,17,0,22610440,0,45176840,0,44040,33996047,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91688991,28727450,3908438,2820041,1071861,5703629,5695743,42989,25,0,22610440,0,45176840,0,44040,33996451,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91694366,28660198,3950290,2819994,1075482,5679531,5682551,43054,18,0,22610440,0,45176840,0,44040,34001985,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91694297,28606289,3921937,2820024,1066083,5689259,5695419,43070,13,0,22610440,0,45176840,0,44040,33996423,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91684888,28596589,3906869,2820091,1074692,5688721,5686703,43200,24,0,22610440,0,45176840,0,44040,33996159,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91684300,28640821,3958182,2819859,1070075,5674321,5680716,43140,14,0,22610440,0,45176840,0,44040,33996159,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91690306,28774716,3968310,2814807,1313997,5699324,5711063,43042,22,0,22610440,0,45176840,0,44040,33995984,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91684221,28789777,3985950,2820001,1065286,5679091,5674470,43129,19,0,22610440,0,45176840,0,44040,33996083,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91684221,28620800,3962307,2820010,1067777,5694089,5688250,43228,28,0,22610440,0,45176840,0,44040,33996157,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,6,91692827,28678721,3967286,2820208,1070884,5695433,5699803,43202,24,0,22610440,0,45176840,0,44040,33996208,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892300,24817782,3515781,2426984,905227,4892457,4892359,37176,20,0,19455496,0,38873096,0,37896,29253029,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892301,24765535,3424388,2427410,911510,4901850,4898825,36963,17,0,19455496,0,38873096,0,37896,29252923,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892301,25067896,3513613,2427076,912093,4892277,4900451,37055,14,0,19455496,0,38873096,0,37896,29264314,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892433,25028457,3474585,2427442,914989,4891907,4895175,36931,14,0,19455496,0,38873096,0,37896,29253035,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892432,25074145,3487817,2427254,911883,4892050,4899602,37197,30,0,19455496,0,38873096,0,37896,29253004,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78896488,24954030,3489081,2427951,929337,4895248,4893524,36994,23,0,19455496,0,38873096,0,37896,29253069,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892432,25021613,3475309,2427628,920660,4903674,4902019,37148,17,0,19455496,0,38873096,0,37896,29253084,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892433,24934818,3466848,2427431,917215,4900864,4907932,37015,17,0,19455496,0,38873096,0,37896,29253000,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78893050,25052119,3516946,2426707,1963897,4892438,4889636,37135,20,0,19455496,0,38873096,0,37896,29253072,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,7,78892432,24701807,3455684,2426628,913342,4905533,4904529,37073,19,0,19455496,0,38873096,0,37896,29253108,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68249552,21967828,3193357,2099385,775765,4235263,4231353,32113,41,0,16826376,0,33619976,0,32776,25301207,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68239325,21843695,3216387,2099124,770324,4227155,4230050,32052,39,0,16826376,0,33619976,0,32776,25301491,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68242118,21832219,3184706,2099184,772747,4226479,4228217,32124,34,0,16826376,0,33619976,0,32776,25301686,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68238653,21802850,3182258,2099274,770398,4229935,4230338,32000,30,0,16826376,0,33619976,0,32776,25301245,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68254347,22129918,3168460,2099233,773702,4220730,4226243,32067,42,0,16826376,0,33619976,0,32776,25303711,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68252821,22060877,3195186,2099736,770156,4233693,4235658,31997,17,0,16826376,0,33619976,0,32776,25301854,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68250063,21807629,3123517,2099457,766534,4232313,4235972,32145,21,0,16826376,0,33619976,0,32776,25301314,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68247151,22018152,3223599,2099190,765461,4230470,4233695,32064,18,0,16826376,0,33619976,0,32776,25301835,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68240739,21860940,3169416,2100163,770394,4229523,4235031,32197,21,0,16826376,0,33619976,0,32776,25301506,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,8,68243008,22213094,3221849,2100039,771986,4227195,4230225,32141,23,0,16826376,0,33619976,0,32776,25301209,gemm.openmp.c,512
gemm.openmp.papiezd17r8kx6cenjtg,1,69350905,22044387,2421904,2097529,587241,3949654,3954652,32896,16,0,16875528,0,33685512,0,65544,25432411,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,21995076,2380688,2096664,590230,4023248,4019673,32903,36,0,16875528,0,33685512,0,65544,25432452,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,21988450,2371985,2096654,590016,4072836,4069600,32899,14,0,16875528,0,33685512,0,65544,25432450,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,21904469,2265008,2096395,599798,3924779,3931256,32869,15,0,16875528,0,33685512,0,65544,25432451,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,22141741,2304409,2096820,598191,3934884,3937633,32921,29,0,16875528,0,33685512,0,65544,25432451,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,22400072,2463405,2096478,590826,4095190,4092215,32884,15,0,16875528,0,33685512,0,65544,25432451,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350905,22255188,2361371,2096807,605206,3838605,3834305,32933,29,0,16875528,0,33685512,0,65544,25432448,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,21941786,2351632,2096983,592612,3929731,3928861,32916,20,0,16875528,0,33685512,0,65544,25432419,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350906,22289450,2637413,2089878,793217,3858958,3858457,32914,17,0,16875528,0,33685512,0,65544,25432450,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,1,69350907,21878597,2264069,2096710,601149,3859536,3855331,32928,15,0,16875528,0,33685512,0,65544,25432450,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,10931393,1116557,1048406,299346,1920758,1919978,16564,35,0,8437768,0,16842760,0,32776,12717305,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678547,11159843,1342196,1044991,299943,1974177,1975212,16554,26,0,8437768,0,16842760,0,32776,12717305,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678547,11172901,1360828,1045069,880462,1959767,1968805,16549,29,0,8437768,0,16842760,0,32776,12717304,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,11173001,1341689,1048365,306112,2059891,2066412,16598,27,0,8437768,0,16842760,0,32776,12717260,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,11200460,1367896,1045249,875744,2040137,2040073,16621,27,0,8437768,0,16842760,0,32776,12717304,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,11008224,1095725,1048400,307030,1978508,1979736,16529,20,0,8437768,0,16842760,0,32776,12717304,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,11069983,1330841,1048500,298202,2061760,2057792,16491,25,0,8437768,0,16842760,0,32776,12717305,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,11012305,1179947,1048691,293183,2020796,2018650,16547,22,0,8437768,0,16842760,0,32776,12717270,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678547,11038983,1225118,1045000,885023,2041312,2042171,16508,28,0,8437768,0,16842760,0,32776,12717305,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,2,34678546,11084961,1142792,1048515,293859,1954719,1953449,16494,60,0,8437768,0,16842760,0,32776,12717305,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23301981,7549065,798575,704359,200954,1346519,1343117,11134,16,0,5669128,0,11316232,0,22024,8545911,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23305896,7556550,884794,704034,201779,1300628,1301893,11139,19,0,5669128,0,11316232,0,22024,8545824,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23313645,7574720,756237,704448,201272,1291232,1292941,11140,14,0,5669128,0,11316232,0,22024,8545803,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23311391,7521576,765145,704632,199841,1322947,1322853,11123,22,0,5669128,0,11316232,0,22024,8545305,gemm.openmp.c,256
gemm.openmp.papiezd17r8kx6cenjtg,3,23311412,7646338,871360,704767,196238,1345586,1342910,11154,16,0,5669128,0,11316232,0,22024,8545759,gemm.openmp.c,256
