id,threads,stall_cyc,vec_ops,cyc,source,n
gemm.openmp38y2dj74sk8jwm8f,4,60852060,268828680,324816071,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,47640921,215272968,260494200,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,45152524,215272968,258053206,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,48160868,215272968,259572920,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,45068713,215272968,260042148,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,48665427,215272968,259814994,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,48774834,215272968,260522532,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,45981405,215272968,260653057,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,47208243,215272968,259840139,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,48908170,215272968,260429983,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,45364047,215272968,259806691,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,47579981,215272968,260370440,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,49701390,215272968,260555614,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,45110546,215272968,260574472,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,47026801,215272968,260749112,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,49132885,215272968,259853541,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,51795293,215272968,259617613,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,44034326,215272968,260115035,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,48280318,215272968,261000166,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,48746414,215272968,258274390,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,5,46519858,215272968,260116401,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,42054132,179569160,220434419,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36978313,179569160,216062359,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,41273875,179569160,216147477,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,38741341,179569160,215940276,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,35803568,179569160,215348158,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,38483059,179569160,215758561,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,37924131,179569160,215463142,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,37207419,179569160,215655176,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36809666,179569160,216290160,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36881244,179569160,216423141,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,38286263,179569160,216434316,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,37437255,179569160,224291497,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36360812,179569160,216065176,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36797866,179569160,215945522,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,42465446,179569160,216929208,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36977891,179569160,215239135,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,38254852,179569160,215630709,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,38478722,179569160,215778817,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,36752180,179569160,215031462,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,6,42403101,179569160,215870962,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,32569545,154366472,185946409,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,32200811,154366472,186819043,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,38584035,154366472,186242409,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,38367838,154366472,186540137,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,30858022,154366472,197976863,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,34042148,154366472,186651958,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,38161344,154366472,186129569,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,39964357,154366472,186465636,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,31321494,154366472,186186233,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,38286474,154366472,186253486,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,36774539,154366472,188360781,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,35728343,154366472,185952954,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,35083124,154366472,186047934,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,35823503,154366472,186565686,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,7,35211250,154366472,186425199,gemm.openmp.c,1024
