id,OMP_NUM_THREADS,exec_time
gemm.openmp8eqb57beg5u1azw6,21,0.000320
gemm.openmp8eqb57beg5u1azw6,21,0.000325
gemm.openmp8eqb57beg5u1azw6,22,0.000300
gemm.openmp8eqb57beg5u1azw6,22,0.000297
gemm.openmp8eqb57beg5u1azw6,22,0.000299
gemm.openmp8eqb57beg5u1azw6,22,0.000299
gemm.openmp8eqb57beg5u1azw6,22,0.000300
gemm.openmp8eqb57beg5u1azw6,23,0.000296
gemm.openmp8eqb57beg5u1azw6,23,0.000298
gemm.openmp8eqb57beg5u1azw6,23,0.000297
gemm.openmp8eqb57beg5u1azw6,23,0.000301
gemm.openmp8eqb57beg5u1azw6,23,0.000301
gemm.openmp8eqb57beg5u1azw6,24,0.000274
gemm.openmp8eqb57beg5u1azw6,24,0.000272
gemm.openmp8eqb57beg5u1azw6,24,0.000269
gemm.openmp8eqb57beg5u1azw6,24,0.000278
gemm.openmp8eqb57beg5u1azw6,24,0.000272
gemm.openmp8eqb57beg5u1azw6,25,0.000275
gemm.openmp8eqb57beg5u1azw6,25,0.000277
gemm.openmp8eqb57beg5u1azw6,25,0.000275
gemm.openmp8eqb57beg5u1azw6,25,0.000277
gemm.openmp8eqb57beg5u1azw6,25,0.000260
gemm.openmp8eqb57beg5u1azw6,26,0.000275
gemm.openmp8eqb57beg5u1azw6,26,0.000277
gemm.openmp8eqb57beg5u1azw6,26,0.000274
gemm.openmp8eqb57beg5u1azw6,26,0.000275
gemm.openmp8eqb57beg5u1azw6,26,0.000275
gemm.openmp8eqb57beg5u1azw6,27,0.000250
gemm.openmp8eqb57beg5u1azw6,27,0.000246
gemm.openmp8eqb57beg5u1azw6,27,0.000250
gemm.openmp8eqb57beg5u1azw6,27,0.000242
gemm.openmp8eqb57beg5u1azw6,27,0.000254
gemm.openmp8eqb57beg5u1azw6,28,0.000249
gemm.openmp8eqb57beg5u1azw6,28,0.000247
gemm.openmp8eqb57beg5u1azw6,28,0.000246
gemm.openmp8eqb57beg5u1azw6,28,0.000249
gemm.openmp8eqb57beg5u1azw6,28,0.000253
gemm.openmp8eqb57beg5u1azw6,29,0.000247
gemm.openmp8eqb57beg5u1azw6,29,0.000243
gemm.openmp8eqb57beg5u1azw6,29,0.000250
gemm.openmp8eqb57beg5u1azw6,29,0.000247
gemm.openmp8eqb57beg5u1azw6,29,0.000251
gemm.openmp8eqb57beg5u1azw6,30,0.000216
gemm.openmp8eqb57beg5u1azw6,30,0.000226
gemm.openmp8eqb57beg5u1azw6,30,0.000226
gemm.openmp8eqb57beg5u1azw6,30,0.000225
gemm.openmp8eqb57beg5u1azw6,30,0.000237
gemm.openmp8eqb57beg5u1azw6,31,0.000228
gemm.openmp8eqb57beg5u1azw6,31,0.000231
gemm.openmp8eqb57beg5u1azw6,31,0.000229
gemm.openmp8eqb57beg5u1azw6,31,0.000226
gemm.openmp8eqb57beg5u1azw6,31,0.000229
gemm.openmp85fj8tba2fygh27n,1,0.000004
gemm.openmp85fj8tba2fygh27n,1,0.000005
gemm.openmp85fj8tba2fygh27n,1,0.000005
gemm.openmp85fj8tba2fygh27n,1,0.000004
gemm.openmp85fj8tba2fygh27n,1,0.000004
gemm.openmp85fj8tba2fygh27n,2,0.000005
gemm.openmp85fj8tba2fygh27n,2,0.000005
gemm.openmp85fj8tba2fygh27n,2,0.000006
gemm.openmp85fj8tba2fygh27n,2,0.000006
gemm.openmp85fj8tba2fygh27n,2,0.000006
gemm.openmp85fj8tba2fygh27n,3,0.000005
gemm.openmp85fj8tba2fygh27n,3,0.000006
gemm.openmp85fj8tba2fygh27n,3,0.000005
gemm.openmp85fj8tba2fygh27n,3,0.000005
gemm.openmp85fj8tba2fygh27n,3,0.000005
gemm.openmp85fj8tba2fygh27n,4,0.000005
gemm.openmp85fj8tba2fygh27n,4,0.000005
gemm.openmp85fj8tba2fygh27n,4,0.000006
gemm.openmp85fj8tba2fygh27n,4,0.000005
gemm.openmp85fj8tba2fygh27n,4,0.000005
gemm.openmp85fj8tba2fygh27n,5,0.000008
gemm.openmp85fj8tba2fygh27n,5,0.000005
gemm.openmp85fj8tba2fygh27n,5,0.000006
gemm.openmp85fj8tba2fygh27n,5,0.000005
gemm.openmp85fj8tba2fygh27n,5,0.000005
gemm.openmp85fj8tba2fygh27n,6,0.000005
gemm.openmp85fj8tba2fygh27n,6,0.000006
gemm.openmp85fj8tba2fygh27n,6,0.000005
gemm.openmp85fj8tba2fygh27n,6,0.000005
gemm.openmp85fj8tba2fygh27n,6,0.000005
gemm.openmp85fj8tba2fygh27n,7,0.000005
gemm.openmp85fj8tba2fygh27n,7,0.000005
gemm.openmp85fj8tba2fygh27n,7,0.000006
gemm.openmp85fj8tba2fygh27n,7,0.000005
gemm.openmp85fj8tba2fygh27n,7,0.000005
